"x","y","dd","df.ahy","df.hy","abun","post","rel.abun"
-120.8334,62.1665,-139.100006103516,-149.71500579834,-149.71500579834,16.9499111175537,0.000411629652797248,0.292622726474662
-120.5001,62.1665,-141.009994506836,-151.529494781494,-151.529494781494,15.7031621932983,0.000381352277107348,0.27109889269673
-118.5001,62.1665,-139.529998779297,-150.123498840332,-150.123498840332,7.82849216461182,0.000190115422393449,0.13515083975997
-118.1667,62.1665,-138.229995727539,-148.888495941162,-148.888495941162,7.82849216461182,0.000190115422393449,0.13515083975997
-117.8334,62.1665,-136.949996948242,-147.67249710083,-147.67249710083,5.17422723770142,0.00012565643244839,0.0893276944754959
-117.5001,62.1665,-136.889999389648,-147.615499420166,-147.615499420166,4.5656681060791,0.000110877535832415,0.0788215489812017
-117.1667,62.1665,-137.080001831055,-147.796001739502,-147.796001739502,4.07968187332153,9.90753297401913e-05,0.070431498114717
-116.8334,62.1665,-137.009994506836,-147.729494781494,-147.729494781494,4.07968187332153,9.90753297401913e-05,0.070431498114717
-116.5001,62.1665,-137.039993286133,-147.757993621826,-147.757993621826,3.60898208618164,8.76443559369437e-05,0.0623053519592204
-116.1667,62.1665,-137.020004272461,-147.739004058838,-147.739004058838,3.08946800231934,7.50279238813174e-05,0.0533364773375513
-137.5,61.8332,-147.089996337891,-157.305496520996,-157.305496520996,0.01110600028187,2.69709912240063e-07,0.000191733635661578
-122.5001,61.8332,-137.960006713867,-148.632006378174,-148.632006378174,20.3094596862793,0.000493216500144657,0.350621866121267
-122.1667,61.8332,-137.679992675781,-148.365993041992,-148.365993041992,20.3094596862793,0.000493216500144657,0.350621866121267
-121.8334,61.8332,-135.190002441406,-146.000502319336,-146.000502319336,21.5739822387695,0.000523925509509124,0.372452543251791
-121.5001,61.8332,-134.949996948242,-145.77249710083,-145.77249710083,21.6720523834229,0.000526307149112627,0.374145623110156
-121.1667,61.8332,-135.100006103516,-145.91500579834,-145.91500579834,21.1609115600586,0.000513894062212482,0.36532130419143
-120.8334,61.8332,-135.449996948242,-146.24749710083,-146.24749710083,18.1907653808594,0.000441763876276894,0.314044795013428
-120.5001,61.8332,-136.110000610352,-146.874500579834,-146.874500579834,19.7296295166016,0.000479135288168351,0.340611696512315
-120.1667,61.8332,-136.919998168945,-147.643998260498,-147.643998260498,17.5234508514404,0.000425558101146497,0.302524298200173
-119.8334,61.8332,-136.929992675781,-147.653493041992,-147.653493041992,13.9657125473022,0.000339158203665075,0.241103617264442
-118.8334,61.8332,-136.029998779297,-146.798498840332,-146.798498840332,10.2772054672241,0.00024958257827195,0.17742534833973
-118.5001,61.8332,-135.619995117188,-146.408995361328,-146.408995361328,8.60797595977783,0.000209045235165917,0.148607823209758
-118.1667,61.8332,-135.429992675781,-146.228493041992,-146.228493041992,7.33834314346313,0.000178212122724497,0.126688922647091
-117.8334,61.8332,-135.350006103516,-146.15250579834,-146.15250579834,4.80493688583374,0.000116688193130412,0.08295227758541
-117.5001,61.8332,-135.429992675781,-146.228493041992,-146.228493041992,4.80493688583374,0.000116688193130412,0.08295227758541
-117.1667,61.8332,-135.600006103516,-146.39000579834,-146.39000579834,3.57651090621948,8.68557912984012e-05,0.0617447705410361
-116.8334,61.8332,-135.720001220703,-146.504001159668,-146.504001159668,4.02890682220459,9.78422544445702e-05,0.0695549192470354
-116.5001,61.8332,-135.820007324219,-146.599006958008,-146.599006958008,6.37376403808594,0.00015478725875393,0.110036459648412
-116.1667,61.8332,-135.929992675781,-146.703493041992,-146.703493041992,6.36573696136475,0.000154592320693146,0.109897880451182
-115.8334,61.8332,-135.710006713867,-146.494506378174,-146.494506378174,6.36573696136475,0.000154592320693146,0.109897880451182
-115.5001,61.8332,-135.470001220703,-146.266501159668,-146.266501159668,6.09931612014771,0.000148122273882425,0.105298399521405
-138.8334,61.4999,-148.5,-158.645,-158.645,0.012783999554813,3.10460229650297e-07,0.000220702561744179
-138.5,61.4999,-149.940002441406,-160.013002319336,-160.013002319336,0.012783999554813,3.10460229650297e-07,0.000220702561744179
-138.1667,61.4999,-149.369995117188,-159.471495361328,-159.471495361328,0.013311999849975,3.23282749878695e-07,0.000229817942047839
-137.8334,61.4999,-148.880004882812,-159.006004638672,-159.006004638672,0.013276999816298,3.22432771869345e-07,0.000229213702579547
-137.5,61.4999,-148.119995117188,-158.283995361328,-158.283995361328,0.007714999839664,1.87359254175844e-07,0.000133191511871473
-137.1667,61.4999,-147.520004272461,-157.714004058838,-157.714004058838,0.010843999683857,2.63347211312324e-07,0.000187210465669898
-136.8334,61.4999,-148.929992675781,-159.053493041992,-159.053493041992,0.010114000178874,2.45619127625376e-07,0.000174607777432079
-122.5001,61.4999,-135.309997558594,-146.114497680664,-146.114497680664,15.9642457962036,0.00038769270875148,0.275606231714033
-122.1667,61.4999,-134.630004882812,-145.468504638672,-145.468504638672,18.1996746063232,0.000441980237375129,0.314198603598495
-121.8334,61.4999,-134.380004882812,-145.231004638672,-145.231004638672,20.8615016937256,0.000506622874861235,0.360152301781203
-121.5001,61.4999,-134.300003051758,-145.15500289917,-145.15500289917,21.8479633331299,0.00053057915754081,0.377182544151395
-121.1667,61.4999,-134.179992675781,-145.040993041992,-145.040993041992,23.3407211303711,0.000566830874114853,0.402953467288724
-120.8334,61.4999,-134,-144.87,-144.87,24.4307975769043,0.000593303448873327,0.421772512393923
-120.5001,61.4999,-133.929992675781,-144.803493041992,-144.803493041992,19.9902172088623,0.000485463676591429,0.345110474144023
