"X","x","y","df.ahy","df.hy","abun","rel.abun","ahy_wing","sy_wing","asy_wing"
1,-99.1667,50.1,-101.379001159668,-101.379001159668,0.024109000340104,0.000721183605651842,105.069290161133,105.166664123535,106.058372497559
2,-98.8334,50.1,-100.485998840332,-100.485998840332,0.030052000656724,0.000898959305028333,104.42992401123,105.166664123535,106.058372497559
3,-98.5001,50.1,-99.877999420166,-99.877999420166,0.03209599852562,0.000960102352530929,104.726493835449,105.166664123535,106.058372497559
4,-98.1667,50.1,-99.441000289917,-99.441000289917,0.029942000284791,0.000895668813355739,104.841339111328,107.551284790039,107.809722900391
5,-97.8334,50.1,-99.098999710083,-99.098999710083,0.026487000286579,0.000792317810780453,104.70597076416,107.551284790039,108.090972900391
6,-97.5001,50.1,-98.652498550415,-98.652498550415,0.013566999696195,0.000405835896169602,104.699119567871,107.551284790039,108.090972900391
7,-99.5001,49.7666,-101.35999710083,-101.35999710083,0.017604999244213,0.000526626432176022,105.066993713379,105.166664123535,106.058372497559
8,-99.1667,49.7666,-100.656999130249,-100.656999130249,0.024893000721931,0.000744635769334377,105.083381652832,105.166664123535,106.058372497559
9,-98.8334,49.7666,-99.877999420166,-99.877999420166,0.032301999628544,0.000966264558183557,105.101409912109,105.166664123535,106.058372497559
10,-98.5001,49.7666,-99.1085017395019,-99.1085017395019,0.071996003389359,0.00215364953272203,104.776031494141,105.166664123535,106.058372497559
11,-98.1667,49.7666,-98.3675028991699,-98.3675028991699,0.087875999510288,0.00262867515380422,104.889083862305,105.166664123535,106.058372497559
12,-97.8334,49.7666,-97.7689982604981,-97.7689982604981,0.025860000401735,0.000773562075108456,104.908515930176,107.551284790039,107.809722900391
13,-97.5001,49.7666,-97.331999130249,-97.331999130249,0.017355000600219,0.000519148107859781,104.774314880371,107.551284790039,108.090972900391
14,-99.8334,49.4333,-101.188996810913,-101.188996810913,0,0,105.066429138184,105.166664123535,106.058372497559
15,-99.5001,49.4333,-100.40999710083,-100.40999710083,0.01804899983108,0.000539908025756476,105.081718444824,105.166664123535,106.058372497559
16,-99.1667,49.4333,-99.944499130249,-99.944499130249,0.024916000664234,0.000745323777177335,105.098625183105,105.166664123535,106.058372497559
