"site","band.no","year","species","date","age","sex","fat","wing","dd"
"JOB","264176461",2014,"WOTH","04/20/14","AHY","U",1,103,-77.28
"JOB","264176470",2014,"WOTH","04/20/14","AHY","U",1,102,-72.38
"JOB","264176478",2014,"WOTH","04/20/14","ASY","U",2,108,-72.95
"JOB","264176478",2014,"WOTH","04/20/14","ASY","U",2,108,NA
"JOB","264176508",2014,"WOTH","04/20/14","ASY","U",1,110,-58.67
"JOB","264176508",2014,"WOTH","04/20/14","ASY","U",1,110,NA
"JOB","264176509",2014,"WOTH","04/20/14","ASY","U",3,110,-59.16
"JOB","264176512",2014,"WOTH","04/20/14","SY","U",1,101,-58.28
"JOB","264176515",2014,"WOTH","04/20/14","SY","U",1,107,NA
"JOB","264176516",2014,"WOTH","04/20/14","ASY","U",1,109,-57.41
"JOB","264176520",2014,"WOTH","04/20/14","AHY","U",1,111,-65.57
"JOB","264176520",2014,"WOTH","04/20/14","AHY","U",1,111,NA
"JOB","264176521",2014,"WOTH","04/20/14","AHY","U",1,103.5,-60.13
"JOB","264176536",2014,"WOTH","04/20/14","AHY","U",1,104,-50.86
"JOB","264176536",2014,"WOTH","04/20/14","AHY","U",1,104,-50.86
"JOB","264176542",2014,"WOTH","04/21/14","AHY","U",3,99,-54.62
"JOB","264176544",2014,"WOTH","04/21/14","ASY","U",1,111,-57.61
"JOB","264176546",2014,"WOTH","04/21/14","AHY","U",1,102,NA
"JOB","264176552",2014,"WOTH","04/21/14","AHY","U",3,101,-53.32
"JOB","264176554",2014,"WOTH","04/22/14","AHY","U",1,104,-52.58
"JOB","264176554",2014,"WOTH","04/22/14","AHY","U",1,104,NA
"JOB","264176555",2014,"WOTH","04/22/14","ASY","U",1,103.5,-41.25
"JOB","264176571",2014,"WOTH","04/22/14","SY","U",2,103,-68.31
"JOB","264176578",2014,"WOTH","04/22/14","SY","U",2,102,-81.27
"JOB","264176578",2014,"WOTH","04/22/14","SY","U",2,102,NA
"JOB","264176584",2014,"WOTH","04/22/14","AHY","U",1,101.5,NA
"JOB","264187006",2014,"WOTH","05/02/14","AHY","U",1,102,-76.5
"JOB","264187037",2014,"WOTH","05/07/14","ASY","U",3,104,-84.23
"JOB","264187037",2014,"WOTH","05/07/14","ASY","U",3,104,-84.23
"MAD","2331-40802",2014,"WOTH","04/17/14","SY","U",0,106,-72.63
"MAD","2331-40816",2014,"WOTH","04/18/14","SY","U",0,108,-59.83
"MAD","2331-40816",2014,"WOTH","04/18/14","SY","U",0,108,NA
"MAD","2331-40819",2014,"WOTH","04/18/14","SY","U",0,101,-57.2
"MAD","2331-40819",2014,"WOTH","04/18/14","SY","U",0,101,NA
"MAD","2331-40824",2014,"WOTH","04/19/14","SY","U",0,110,-55.99
"MAD","2331-40828",2014,"WOTH","04/19/14","AHY","U",1,109,-40.09
"MAD","2331-40828",2014,"WOTH","04/19/14","AHY","U",1,109,NA
"MAD","2331-40829",2014,"WOTH","04/19/14","SY","U",0,98,-64.41
"MAD","2331-40851",2014,"WOTH","04/19/14","SY","U",1,102,-40.96
"MAD","2331-40852",2014,"WOTH","04/19/14","SY","U",0,108,-60.29
"MAD","2421-11259",2014,"WOTH","03/29/14","ASY","U",2,105,-41.24
"MAD","2421-11260",2014,"WOTH","03/29/14","SY","U",1,107,-59.64
"MAD","2421-11267",2014,"WOTH","04/07/14","ASY","U",3,107,-37.8
"MAD","2421-11267",2014,"WOTH","04/07/14","ASY","U",3,107,NA
"MAD","2421-11269",2014,"WOTH","04/09/14","AHY","U",0,107,-48.68
"MAD","2421-11269",2014,"WOTH","04/09/14","AHY","U",0,107,NA
"MAD","2421-11270",2014,"WOTH","04/10/14","SY","U",1,113,-44.89
"MAD","2421-11270",2014,"WOTH","04/10/14","SY","U",1,113,NA
"MAD","2421-11273",2014,"WOTH","04/11/14","SY","U",0,102,-52.31
"MAD","2421-11273",2014,"WOTH","04/11/14","SY","U",0,102,NA
"MAD","2421-34724",2014,"WOTH","04/19/14","SY","U",1,112,-67.21
"MAD","2421-34765",2014,"WOTH","04/19/14","ASY","U",1,109,-49.9
"MAD","2421-34765",2014,"WOTH","04/19/14","ASY","U",1,109,NA
"MAD","2421-34795",2014,"WOTH","04/19/14","SY","U",2,111,-52.76
"MAD","2421-34795",2014,"WOTH","04/19/14","SY","U",2,111,-52.76
"MAD","2531-90119",2014,"WOTH","04/19/14","SY","U",1,102,-56.87
"MAD","2531-90127",2014,"WOTH","04/19/14","AHY","U",1,109,-26.12
"MAD","2531-90127",2014,"WOTH","04/19/14","AHY","U",1,109,-26.12
"MAD","2531-90149",2014,"WOTH","04/20/14","SY","U",0,105,-48.87
"MAD","2331-40802",2014,"WOTH","04/17/14","SY","U",0,106,-69.32
"MAD","2421-11260",2014,"WOTH","03/29/14","SY","U",1,107,-58.62
"MAD","2421-34724",2014,"WOTH","04/19/14","SY","U",1,112,-69.61
"MAD","2531-90149",2014,"WOTH","04/20/14","SY","U",0,105,-50.59
"MAD","2531-90159",2014,"WOTH","04/20/14","SY","U",0,108,-60.46
"MAD","2531-90164",2014,"WOTH","04/20/14","AHY","U",0,104,-59.03
"MAD","2531-90185",2014,"WOTH","04/20/14","SY","U",1,106,-75.12
"MAD","2531-90185",2014,"WOTH","04/20/14","SY","U",1,106,NA
"MAD","2531-90186",2014,"WOTH","04/20/14","SY","U",0,107,-75.41
"MAD","2531-90186",2014,"WOTH","04/20/14","SY","U",0,107,NA
"MAD","2531-90191",2014,"WOTH","04/20/14","AHY","U",1,112,-73.12
"MAD","2531-90191",2014,"WOTH","04/20/14","AHY","U",1,112,NA
"MAD","2531-90192",2014,"WOTH","04/20/14","SY","U",0,104,-66.83
"MAD","2531-90192",2014,"WOTH","04/20/14","SY","U",0,104,NA
"MAD","2531-90195",2014,"WOTH","04/21/14","AHY","U",1,107,-39.09
"MAD","2641-63402",2014,"WOTH","04/21/14","SY","U",1,107,NA
"MAD","2641-63402",2014,"WOTH","04/21/14","SY","U",1,107,-73.95
"MAD","2641-63414",2014,"WOTH","04/22/14","SY","U",2,108,-73.04
"MAD","2641-96503",2014,"WOTH","04/28/14","ASY","U",3,110,-72.04
"MAD","2641-96503",2014,"WOTH","04/28/14","ASY","U",3,110,-73.67
"MAD","2641-96514",2014,"WOTH","04/28/14","SY","U",1,107,-70.63
"MAD","2641-96514",2014,"WOTH","04/28/14","SY","U",1,107,NA
